State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.96030	3.30705	3.26623	3.59285	3.30705	3.06209	2.89878	2.81712	2.61298	2.57215	2.57215	3.91947	3.75616	3.18457	3.55202	3.83782	3.59285	2.73546	3.18457	3.26623	3.22540
2	4.44163	4.58557	4.40050	4.27027	4.01666	3.88643	3.74934	3.27639	3.25582	3.03649	3.09132	2.87883	3.20099	3.21470	3.39977	3.26953	3.19414	3.34493	3.20099	3.35864	3.31751
3	2.12507	1.96392	1.79271	1.81285	1.97399	2.03442	2.12507	2.38692	2.44735	2.69914	2.85021	2.87035	2.78978	2.72935	2.91063	3.02142	3.05163	3.06171	3.01135	2.97106	2.90056
4	1.46819	1.52297	1.66541	1.59967	1.56680	1.56132	1.55036	1.69828	1.58871	1.57776	1.60515	1.76950	1.83524	2.08176	1.91193	2.08176	2.07628	2.04341	2.01602	2.04889	2.04889
5	1.34008	1.35533	1.30767	1.38202	1.37820	1.41252	1.45064	1.41633	1.42586	1.46970	1.50211	1.59742	1.69464	1.75564	1.84523	1.84142	1.89479	1.90051	1.92529	1.86429	1.94626
6	1.50946	1.63525	1.54376	1.58951	1.48659	1.56663	1.62381	1.83536	1.86967	1.76675	1.66955	1.69242	1.58951	1.62381	1.66955	1.53233	1.65812	1.61238	1.74388	1.77819	1.69242
7	2.84479	2.71416	2.69965	2.38033	2.56902	2.30776	2.42388	2.59805	2.46742	2.58353	2.51096	2.35130	2.16262	2.26422	2.33679	2.75770	2.48193	2.45290	2.39485	2.45290	2.45290
8	5.30602	5.04424	4.92342	4.63144	4.85294	4.84287	4.75226	4.98383	4.83281	4.56096	4.32939	4.14816	3.70515	3.89645	3.63467	3.57426	3.80583	3.87631	3.81590	3.67495	3.68501
9	2.85807	2.76823	2.88615	3.00968	2.87492	2.83561	2.90299	2.94791	3.00406	2.93668	2.84123	2.75139	2.61101	2.33587	2.29656	2.24041	2.03827	2.15619	2.05512	2.07758	2.11127
10	0.56878	0.55286	0.52536	0.51523	0.52246	0.52825	0.51812	0.49062	0.48483	0.47905	0.47470	0.46457	0.46602	0.45299	0.44142	0.45444	0.47470	0.45734	0.47615	0.46168	0.46457
11	2.02381	2.04191	2.06605	2.08013	2.09461	2.11271	2.11593	2.12478	2.15737	2.20282	2.25793	2.28891	2.35045	2.38626	2.42166	2.45062	2.44579	2.45585	2.44619	2.43654	2.41240
12	5.35730	5.36054	5.33244	5.30219	5.28274	5.23411	5.18549	5.11418	5.00720	4.80946	4.59336	4.38589	4.14710	3.93099	3.70516	3.50850	3.38316	3.21892	3.11626	3.02874	2.95635
13	1.30222	1.30883	1.31696	1.30985	1.31239	1.31188	1.30985	1.30883	1.29511	1.28901	1.26412	1.24380	1.23109	1.21179	1.20010	1.18537	1.16657	1.14980	1.15691	1.15539	1.16250
14	0.56727	0.56554	0.56626	0.56727	0.56819	0.56833	0.56867	0.56982	0.57391	0.58085	0.58797	0.59360	0.59942	0.60549	0.61011	0.61574	0.62248	0.62888	0.63316	0.63985	0.64520
15	1.75289	1.78441	1.80804	1.79229	1.77653	1.80804	1.87501	1.86319	1.81986	1.73320	1.67017	1.67805	1.57170	1.53231	1.55594	1.54018	1.57170	1.65836	1.71744	1.65442	1.57170
