State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.25184	4.79233	5.11662	6.52189	9.08020	11.49439	17.65595	24.57420	36.14065	84.42428	159.04770	70.33555	48.93221	30.98800	18.77296	11.67455	8.10733	5.47695	3.71135	3.49516	2.48625
2	4.96649	5.84969	7.04745	9.59421	13.64726	20.28336	30.07720	41.39547	52.21164	53.90545	50.60857	68.58109	69.40985	64.38891	50.34240	32.61791	19.90225	12.23172	7.93065	5.55327	3.99860
3	3.69762	4.15982	4.63091	5.55532	6.80859	8.40853	10.10623	12.86167	13.54608	9.33293	4.78202	4.31981	4.29315	3.77761	3.68873	3.35097	3.21764	2.93321	2.56878	2.51545	2.41767
4	2.48513	2.68819	2.81874	2.97829	3.05565	3.18135	3.22003	2.67369	1.64869	1.31025	1.25223	1.19422	1.15070	1.17488	1.21356	1.31509	1.36827	1.39728	1.43596	1.40212	1.44563
5	3.14093	3.24524	3.32936	3.24019	3.07364	2.84316	2.18873	1.52588	1.21465	1.16586	1.13895	1.09016	1.10025	1.19783	1.29204	1.37111	1.46532	1.77824	1.98180	2.06928	1.99189
6	3.67356	4.65755	5.33878	7.13519	8.95683	10.80875	11.71705	10.26377	6.54984	5.38924	5.07638	3.76439	3.70384	3.95614	4.57177	5.97459	6.98885	6.19661	5.24290	4.15799	3.38089
7	3.98376	4.84200	7.28862	9.78647	14.46195	19.88037	27.38675	33.17665	33.79151	28.80860	18.65066	16.03752	16.70361	19.85475	21.91708	19.66261	13.34752	9.44061	6.13576	4.53457	3.90690
8	11.78258	14.05735	16.22548	17.54947	17.63833	15.23027	10.02319	5.85575	3.92753	3.19000	3.00340	3.38549	4.69171	10.81403	27.54600	48.17885	58.35310	57.06465	51.06673	42.19870	34.14816
9	6.84861	6.22916	5.61467	4.53931	3.31033	2.22010	1.63534	1.33801	1.28845	1.22898	1.21412	1.20421	1.23889	1.28349	1.73445	2.82963	6.26880	11.08563	15.28300	18.72217	20.06513
10	1.02055	0.82257	0.67824	0.58500	0.51347	0.47387	0.43555	0.42789	0.41129	0.40618	0.40490	0.41001	0.41767	0.43172	0.43555	0.44322	0.48154	0.69484	1.02949	1.49059	2.07176
11	0.95536	0.90140	0.83608	0.76294	0.69371	0.62732	0.57194	0.52330	0.49170	0.48212	0.47111	0.46863	0.47502	0.49135	0.50236	0.54141	0.59289	0.67064	0.76720	0.86235	0.97844
12	0.84205	0.78579	0.72189	0.68470	0.64465	0.60746	0.58457	0.56169	0.56550	0.56741	0.58743	0.62081	0.63893	0.65037	0.65896	0.67517	0.70759	0.74669	0.83919	0.96602	1.16247
13	1.23986	1.25152	1.26407	1.26497	1.27483	1.27394	1.28246	1.27080	1.27259	1.28739	1.29994	1.31743	1.33716	1.34972	1.35734	1.35555	1.35286	1.34030	1.33492	1.33582	1.32954
14	0.73495	0.71856	0.69876	0.66724	0.62260	0.56755	0.50570	0.45014	0.41866	0.40486	0.39781	0.39500	0.40290	0.41272	0.42593	0.44122	0.45787	0.47686	0.49096	0.50188	0.51152
15	1.67564	1.73127	1.79732	1.90509	2.02676	2.10672	2.05458	2.05458	1.91899	1.87728	2.02329	2.03024	2.01633	2.01981	1.94681	1.81818	1.84251	1.73822	1.72431	1.66521	1.56092
