State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.08564	101.06814	11.62197	1.35789	2.57242	159.05261	23.86654	0.20765
2	0.51013	63.88075	9.09271	1.65949	3.09164	50.60409	25.70470	0.19650
3	0.34718	3.08989	1.83035	1.03048	2.85051	4.78216	5.45779	0.20893
4	0.63827	0.34643	1.22740	1.11170	1.60532	1.25227	1.96123	0.34708
5	1.83431	0.63131	1.11463	1.03860	1.50227	1.13898	2.01260	0.42775
6	0.61155	4.65335	1.64191	0.95429	1.66401	5.07654	6.06794	0.56852
7	0.24091	25.22225	3.59432	1.03327	2.51122	18.65123	15.56710	0.37321
8	0.34729	2.60113	3.68914	2.16880	4.32984	3.00350	18.28179	0.15394
9	0.62272	0.77826	2.52844	2.19588	2.84153	1.21415	4.72956	0.15050
10	2.41602	0.25666	0.61100	2.24638	0.47475	0.40491	0.67416	0.20703
11	8.69227	0.58161	2.23028	2.04019	2.25817	0.47113	0.69135	0.34621
12	3.23601	1.17413	5.70774	2.24574	4.59168	0.58745	0.75826	0.18881
13	6.88195	1.44633	1.21104	1.00980	1.26425	1.29998	1.40264	1.21817
14	72.64806	0.32182	0.50948	0.75805	0.58803	0.39782	0.54902	1.17031
15	0.88767	3.58952	1.68630	0.74700	1.67035	2.02335	1.82401	0.78156
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
