State (Emission order)	H3k4me3	H3k9ac	H3k27ac	H2afz	H3k4me2	H3k04me1	H3k79me2	H3k36me3	H3k09me3	H3k27me3
1	0.6410624422098787	0.6309042110807898	0.6520465698428078	0.14178943124311494	0.15320135255727435	2.898534953480634E-4	0.01673126873339623	1.9195970118660556E-4	0.0016836299817965669	9.130715172200827E-4
2	1.0	0.9999872970581274	0.9901374363486185	0.7657890469014813	0.9396419672942806	0.13312970137543662	0.4181908509109584	4.6601295797703166E-4	0.005528708638091172	0.0033990464145753295
3	0.6730135320445265	0.7825627969724457	0.987763793252133	0.5978182156416204	0.9970249546683235	0.9357312238077524	0.09305604870189889	0.018616089839781982	0.007081648545533795	0.003921924309556602
4	0.04200500131657842	0.13622340084135626	0.69902839210432	0.19174925890122943	0.5289203057580325	0.8367356327641601	0.058399363772760844	0.029918088809129408	0.012393518986203738	0.002396621073423774
5	0.002125069146934218	0.020189689789527242	0.020332505682917012	0.03682042795806565	0.024143266131825925	0.3947712597942086	0.0212955550855429	0.005746140403496302	0.0044735412878585705	0.002515949170272085
6	0.08220069323701511	0.044450803241549215	0.0229493748123965	0.2507514440654918	0.6308104926219429	0.4707945788618096	0.023040458524730283	0.0013750945642169706	0.008745145223944411	0.030694290432320852
7	0.9403175060025778	0.45769348639536656	0.22955572237166244	0.6436067854815805	0.977114491367774	0.521226227174164	0.0775898593795073	0.02326025549066289	0.04115845634217694	0.06569623420209372
8	0.9098765163029039	0.540972144773352	0.3953120037294953	0.028015143146241657	0.9980959632616723	0.5878225372510638	0.9124649007361367	0.1872960469794517	0.007900573683663401	0.004640636347246582
9	0.047097022722958404	0.062423484035879974	0.10420135106009257	0.0042748242278780645	0.42863858933363697	0.4805919684642283	0.7437399909176009	0.2962895209691938	0.0111476998615241	0.0033798250904486823
10	8.888447734056555E-4	0.00677598486578144	0.0014924346461472574	5.847114709767818E-4	0.003508412332463319	0.02224062384298138	0.5916884535972688	0.11305761352786814	0.006730732066687676	8.702788856719479E-4
11	4.910338093624084E-4	0.005964283750907878	8.693808062022877E-4	6.697616357726719E-4	5.655642672231869E-4	0.002003546335463275	0.03648621265951579	0.04110580363194433	0.002046490180008137	7.276115980480903E-4
12	0.002197023979266825	0.015783710664492037	0.00442588984550395	0.0014249723511291078	0.0013604793046702738	0.007512249231324887	0.06697057484750027	0.46610883380732887	0.009759232521973865	0.002853826048076273
13	0.0015364861048335076	0.009744210274199163	5.409780340423777E-4	0.012827196724755623	0.001938323893047525	0.0020308742282577133	0.008589625892197137	1.5896567429175094E-4	0.011989655059784683	0.2740165149425559
14	1.383641110807799E-4	0.0014049328916854275	8.677520457305962E-5	0.0028965299553767886	2.3952416837969942E-4	4.919133671168883E-4	0.003051877715044791	2.1956280999554435E-4	0.0026169151914722235	0.0038256979800328087
15	0.012197222483471866	0.03154968696188686	0.004878531635648262	0.059408231894535354	0.0035524181385948577	0.005168089305341063	0.03257124511051178	0.008070906366048363	0.22161705541102025	0.035735361074854734
