15	10	E	-7498978.913817789	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	1.1078434542722794E-297
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	7.822292247335239E-185
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	2.733385034717983E-225
transitionprobs	1	1	0.43982298719104856
transitionprobs	1	2	0.4228764539016701
transitionprobs	1	3	0.025699133431032598
transitionprobs	1	4	0.0
transitionprobs	1	5	0.005214674937754026
transitionprobs	1	6	0.014504500630179409
transitionprobs	1	7	0.03630722898108206
transitionprobs	1	8	0.008719175382038947
transitionprobs	1	9	0.0020249341060125897
transitionprobs	1	10	8.128655168662601E-5
transitionprobs	1	11	0.012279717494585585
transitionprobs	1	12	4.537799149580688E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	0.02303841024593763
transitionprobs	1	15	0.008977717232013856
transitionprobs	2	1	0.07705131925357651
transitionprobs	2	2	0.7683562515965316
transitionprobs	2	3	0.018344117077426354
transitionprobs	2	4	0.0
transitionprobs	2	5	1.8304353155659773E-4
transitionprobs	2	6	0.008809264313055922
transitionprobs	2	7	0.05718830668261085
transitionprobs	2	8	0.06950029080519851
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	5.674067400435745E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	0.0
transitionprobs	3	1	0.005508236929894319
transitionprobs	3	2	0.02925154079557034
transitionprobs	3	3	0.6971718610224391
transitionprobs	3	4	0.21241122325702358
transitionprobs	3	5	0.013821378355656094
transitionprobs	3	6	0.025490459146943915
transitionprobs	3	7	0.00758369709881204
transitionprobs	3	8	0.005177536881027778
transitionprobs	3	9	0.0018318833306089158
transitionprobs	3	10	0.0
transitionprobs	3	11	9.759214217117571E-4
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	7.76261760312217E-4
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	0.11264812259191535
transitionprobs	4	4	0.6508246431514383
transitionprobs	4	5	0.20684709488887443
transitionprobs	4	6	0.005021189283756123
transitionprobs	4	7	1.963160518261449E-4
transitionprobs	4	8	6.287922227926649E-4
transitionprobs	4	9	0.011490679514551213
transitionprobs	4	10	0.0
transitionprobs	4	11	0.012343162294845642
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	1.5325429752198821E-4
transitionprobs	5	2	1.8740015785175133E-8
transitionprobs	5	3	0.002028555801469101
transitionprobs	5	4	0.06313729121148082
transitionprobs	5	5	0.7333063555878104
transitionprobs	5	6	0.043699819804098955
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0026240530783415593
transitionprobs	5	10	1.0862976563878614E-4
transitionprobs	5	11	0.041979581956775196
transitionprobs	5	12	0.0018392613084593356
transitionprobs	5	13	0.0
transitionprobs	5	14	0.10776278084905148
transitionprobs	5	15	0.003360397599336378
transitionprobs	6	1	0.0014293320139775235
transitionprobs	6	2	0.0064047001117652335
transitionprobs	6	3	0.013309114948155265
transitionprobs	6	4	0.005038194587657099
transitionprobs	6	5	0.13766439807954914
transitionprobs	6	6	0.5174915369236821
transitionprobs	6	7	0.10127774938353451
transitionprobs	6	8	0.0
transitionprobs	6	9	0.002736322180469765
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	1.7419643763382729E-4
transitionprobs	6	13	0.021125996823277822
transitionprobs	6	14	0.18852745993666373
transitionprobs	6	15	0.004820998573633942
transitionprobs	7	1	0.012876426001066572
transitionprobs	7	2	0.11713246989209515
transitionprobs	7	3	0.012895965382081771
transitionprobs	7	4	4.86025382988123E-7
transitionprobs	7	5	0.0
transitionprobs	7	6	0.27546213229506394
transitionprobs	7	7	0.5047810112816518
transitionprobs	7	8	0.0029981385287714516
transitionprobs	7	9	0.0
transitionprobs	7	10	1.6783241702057866E-4
transitionprobs	7	11	0.011147469567141959
transitionprobs	7	12	2.380799414591631E-4
transitionprobs	7	13	0.005647967411970393
transitionprobs	7	14	0.030494631268988576
transitionprobs	7	15	0.02615738998730565
transitionprobs	8	1	0.0024167278028157163
transitionprobs	8	2	0.0960573566031411
transitionprobs	8	3	0.0044407446757952366
transitionprobs	8	4	8.56928159966525E-4
transitionprobs	8	5	2.721548576550813E-4
transitionprobs	8	6	0.0
transitionprobs	8	7	0.0020992086858239996
transitionprobs	8	8	0.7490963630623161
transitionprobs	8	9	0.14234597370372254
transitionprobs	8	10	1.7105282367200564E-4
transitionprobs	8	11	0.002215859709644478
transitionprobs	8	12	2.7629915447221777E-5
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0
transitionprobs	9	1	3.1493642215064125E-4
transitionprobs	9	2	0.0
transitionprobs	9	3	0.001201381038143972
transitionprobs	9	4	0.01243894473627685
transitionprobs	9	5	0.0075756586605936795
transitionprobs	9	6	0.0023896859350295884
transitionprobs	9	7	0.0
transitionprobs	9	8	0.07574713510405554
transitionprobs	9	9	0.7457644227782831
transitionprobs	9	10	0.11636642190053574
transitionprobs	9	11	0.010198469632558166
transitionprobs	9	12	0.028002943792372635
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	10	1	9.514391027346738E-7
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	1.6538316019407953E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	1.1989835947524144E-5
transitionprobs	10	8	6.137667300495712E-5
transitionprobs	10	9	0.030754959603090812
transitionprobs	10	10	0.9457793297354746
transitionprobs	10	11	0.019885499028280768
transitionprobs	10	12	0.003333898554308143
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	6.611970596294117E-6
transitionprobs	11	1	1.6289861746012112E-4
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0010486199611793904
transitionprobs	11	5	0.00995902919070325
transitionprobs	11	6	0.0
transitionprobs	11	7	3.249296741343394E-4
transitionprobs	11	8	9.444076122654115E-5
transitionprobs	11	9	8.640531168259973E-4
transitionprobs	11	10	0.005285141413502929
transitionprobs	11	11	0.9681227092547025
transitionprobs	11	12	0.012073863237463275
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0015668547146957966
transitionprobs	11	15	4.974600581058539E-4
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0011716237181940742
transitionprobs	12	6	1.3250579819452058E-5
transitionprobs	12	7	1.3934097435387311E-5
transitionprobs	12	8	1.1108298389547108E-5
transitionprobs	12	9	0.0052336826630485
transitionprobs	12	10	0.0023347969204721582
transitionprobs	12	11	0.03275588842255527
transitionprobs	12	12	0.9581323568296511
transitionprobs	12	13	0.0
transitionprobs	12	14	2.400792999026143E-5
transitionprobs	12	15	3.0935054044425305E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.002006532637792424
transitionprobs	13	7	2.580361140919583E-4
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0
transitionprobs	13	13	0.9729115603644223
transitionprobs	13	14	0.023752011842426247
transitionprobs	13	15	0.0010718590412672289
transitionprobs	14	1	2.6431184781232275E-5
transitionprobs	14	2	0.0
transitionprobs	14	3	5.563149549470564E-6
transitionprobs	14	4	0.0
transitionprobs	14	5	0.0031973683414587926
transitionprobs	14	6	0.0018282202609070449
transitionprobs	14	7	1.508852489507565E-4
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	1.765407440290129E-4
transitionprobs	14	12	2.473546951507711E-6
transitionprobs	14	13	0.002389294286701078
transitionprobs	14	14	0.9891693905357406
transitionprobs	14	15	0.003053832700930291
transitionprobs	15	1	8.41985353309857E-4
transitionprobs	15	2	2.0420472584354557E-4
transitionprobs	15	3	7.255698785066763E-5
transitionprobs	15	4	8.795604846934296E-4
transitionprobs	15	5	0.003625892325580618
transitionprobs	15	6	0.006602190853326811
transitionprobs	15	7	0.0
transitionprobs	15	8	1.0024655080932098E-5
transitionprobs	15	9	0.0
