State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.43982298719104856	0.4228764539016701	0.025699133431032598	0.0	0.005214674937754026	0.014504500630179409	0.03630722898108206	0.008719175382038947	0.0020249341060125897	8.128655168662601E-5	0.012279717494585585	4.537799149580688E-4	0.0	0.02303841024593763	0.008977717232013856
2	0.07705131925357651	0.7683562515965316	0.018344117077426354	0.0	1.8304353155659773E-4	0.008809264313055922	0.05718830668261085	0.06950029080519851	0.0	0.0	5.674067400435745E-4	0.0	0.0	0.0	0.0
3	0.005508236929894319	0.02925154079557034	0.6971718610224391	0.21241122325702358	0.013821378355656094	0.025490459146943915	0.00758369709881204	0.005177536881027778	0.0018318833306089158	0.0	9.759214217117571E-4	0.0	0.0	7.76261760312217E-4	0.0
4	0.0	0.0	0.11264812259191535	0.6508246431514383	0.20684709488887443	0.005021189283756123	1.963160518261449E-4	6.287922227926649E-4	0.011490679514551213	0.0	0.012343162294845642	0.0	0.0	0.0	0.0
5	1.5325429752198821E-4	1.8740015785175133E-8	0.002028555801469101	0.06313729121148082	0.7333063555878104	0.043699819804098955	0.0	0.0	0.0026240530783415593	1.0862976563878614E-4	0.041979581956775196	0.0018392613084593356	0.0	0.10776278084905148	0.003360397599336378
6	0.0014293320139775235	0.0064047001117652335	0.013309114948155265	0.005038194587657099	0.13766439807954914	0.5174915369236821	0.10127774938353451	0.0	0.002736322180469765	0.0	0.0	1.7419643763382729E-4	0.021125996823277822	0.18852745993666373	0.004820998573633942
7	0.012876426001066572	0.11713246989209515	0.012895965382081771	4.86025382988123E-7	0.0	0.27546213229506394	0.5047810112816518	0.0029981385287714516	0.0	1.6783241702057866E-4	0.011147469567141959	2.380799414591631E-4	0.005647967411970393	0.030494631268988576	0.02615738998730565
8	0.0024167278028157163	0.0960573566031411	0.0044407446757952366	8.56928159966525E-4	2.721548576550813E-4	0.0	0.0020992086858239996	0.7490963630623161	0.14234597370372254	1.7105282367200564E-4	0.002215859709644478	2.7629915447221777E-5	0.0	0.0	0.0
9	3.1493642215064125E-4	0.0	0.001201381038143972	0.01243894473627685	0.0075756586605936795	0.0023896859350295884	0.0	0.07574713510405554	0.7457644227782831	0.11636642190053574	0.010198469632558166	0.028002943792372635	0.0	0.0	0.0
10	9.514391027346738E-7	0.0	0.0	0.0	1.6538316019407953E-4	0.0	1.1989835947524144E-5	6.137667300495712E-5	0.030754959603090812	0.9457793297354746	0.019885499028280768	0.003333898554308143	0.0	0.0	6.611970596294117E-6
11	1.6289861746012112E-4	0.0	0.0	0.0010486199611793904	0.00995902919070325	0.0	3.249296741343394E-4	9.444076122654115E-5	8.640531168259973E-4	0.005285141413502929	0.9681227092547025	0.012073863237463275	0.0	0.0015668547146957966	4.974600581058539E-4
12	0.0	0.0	0.0	0.0	0.0011716237181940742	1.3250579819452058E-5	1.3934097435387311E-5	1.1108298389547108E-5	0.0052336826630485	0.0023347969204721582	0.03275588842255527	0.9581323568296511	0.0	2.400792999026143E-5	3.0935054044425305E-4
13	0.0	0.0	0.0	0.0	0.0	0.002006532637792424	2.580361140919583E-4	0.0	0.0	0.0	0.0	0.0	0.9729115603644223	0.023752011842426247	0.0010718590412672289
14	2.6431184781232275E-5	0.0	5.563149549470564E-6	0.0	0.0031973683414587926	0.0018282202609070449	1.508852489507565E-4	0.0	0.0	0.0	1.765407440290129E-4	2.473546951507711E-6	0.002389294286701078	0.9891693905357406	0.003053832700930291
15	8.41985353309857E-4	2.0420472584354557E-4	7.255698785066763E-5	8.795604846934296E-4	0.003625892325580618	0.006602190853326811	0.0	1.0024655080932098E-5	0.0	6.367052927295594E-6	0.0034764239757612008	5.508666095879132E-4	0.005564240063505505	0.1536160795254894	0.824549607387043
